type,fibre,parameter,value
endpoint_cutoff,minus,3,5.790525589696753
endpoint_cutoff,minus,4,5.7905255784189915
endpoint_cutoff,minus,5,5.79052557842265
endpoint_cutoff,minus,6,5.790525578422648
endpoint_cutoff,minus,8,5.790525578422648
endpoint_cutoff,minus,10,5.790525578422648
endpoint_cutoff,minus,15,5.790525578422648
endpoint_cutoff,minus,20,5.790525578422648
endpoint_cutoff,plus,3,5.333743999228271
endpoint_cutoff,plus,4,5.331570417596829
endpoint_cutoff,plus,5,5.331759483768113
endpoint_cutoff,plus,6,5.33175232356409
endpoint_cutoff,plus,8,5.331752545753058
endpoint_cutoff,plus,10,5.331752545874455
endpoint_cutoff,plus,15,5.3317525458744885
endpoint_cutoff,plus,20,5.3317525458744885
positive_nu,minus,0.01,5.820436330638508
positive_nu,plus,0.01,5.265610159941588
positive_nu,minus,0.001,5.800135068990422
positive_nu,plus,0.001,5.327994302455636
positive_nu,minus,0.0001,5.791534205924048
positive_nu,plus,0.0001,5.331406427215796
positive_nu,minus,1e-05,5.790624499275611
positive_nu,plus,1e-05,5.331740981523834
positive_nu,minus,1e-06,5.790527786006759
positive_nu,plus,1e-06,5.331752425627312
