fibre,nu,j_match,J_tail,theta_max,theta_over_nu_1_7
minus,0.001,7,700,0.40018175593272787,1.0735659139883864
minus,0.0001,14,700,0.15764652875870444,0.5876422106303952
minus,1e-05,27,700,0.05574477590124274,0.28872865527990493
minus,1e-06,52,1199,0.020004760516711132,0.14397139535696124
minus,1e-07,100,2585,0.007266075232595099,0.07266075232595098
plus,0.001,7,700,0.7400412557065553,1.985305565017504
plus,0.0001,14,700,0.16917339784826826,0.6306096954635457
plus,1e-05,27,700,0.03481958261031212,0.18034714647151104
plus,1e-06,52,1199,0.008120525559597089,0.058442259024816874
plus,1e-07,100,2585,0.002143964351852488,0.02143964351852488
