kind,fibre,parity,nu,j_match,theta_max,theta_over_nu_1_4,diagnostic
neutral_root,minus,even,,200,,,0.9926576840634852
neutral_root,minus,even,,500,,,0.9970253506034309
neutral_root,minus,even,,1000,,,0.9985060689909844
neutral_root,minus,even,,5000,,,0.9996880853257196
neutral_root,minus,odd,,200,,,0.9852676137260012
neutral_root,minus,odd,,500,,,0.9940431416985336
neutral_root,minus,odd,,1000,,,0.9970108277160774
neutral_root,minus,odd,,5000,,,0.999424032828385
neutral_root,plus,even,,200,,,0.9920514276886139
neutral_root,plus,even,,500,,,0.9969272113739013
neutral_root,plus,even,,1000,,,0.9984817175360136
neutral_root,plus,even,,5000,,,0.9997006267413837
neutral_root,plus,odd,,200,,,0.9846688451308462
neutral_root,plus,odd,,500,,,0.9939455346003513
neutral_root,plus,odd,,1000,,,0.9969862414254242
neutral_root,plus,odd,,5000,,,0.9993997600159867
principal_angle,minus,,0.0001,10,0.08590624555531842,0.8590624555531842,
principal_angle,minus,,1e-05,18,0.02570926570972128,0.45718257858817063,
principal_angle,minus,,1e-06,32,0.007756959735044771,0.2452966048095771,
principal_angle,minus,,1e-07,56,0.0023143441094183375,0.1301451333436786,
principal_angle,minus,,1e-08,100,0.0007266472831973609,0.0726647283197361,
principal_angle,plus,,0.0001,10,0.3828741690977262,3.828741690977262,
principal_angle,plus,,1e-05,18,0.09115647219765054,1.6210167760086747,
principal_angle,plus,,1e-06,32,0.022736413948324624,0.718988539011277,
principal_angle,plus,,1e-07,56,0.006374267588804996,0.35845140830064925,
principal_angle,plus,,1e-08,100,0.0018174461928865916,0.18174461928865915,
