range,fibre,nu_lo,nu_hi,N,eta,rho,q_raw,q_hat,tail_bound,u3_upper,a3_lower
decade_1e-5,minus,1e-05,1.5e-05,900,2.3931646580804997e-13,0.3959470994815769,0.06917373448776871,0.07174274229068697,0.023899062376946202,-2.1106985295406086e-05,2.1106985295406086e-05
decade_1e-5,minus,1.5e-05,2.25e-05,900,2.108818219784766e-13,0.39499988881628495,0.04611582299184581,0.04725503827413898,0.01522751255492646,-3.1785024176967755e-05,3.1785024176967755e-05
decade_1e-5,minus,2.25e-05,3.375e-05,900,1.821147257645347e-13,0.393822993324343,0.030743881994563866,0.03124927879206098,0.009845983798365219,-4.7872279388719765e-05,4.7872279388719765e-05
decade_1e-5,minus,3.375e-05,5.0625e-05,900,1.5519794859284414e-13,0.3924370098055768,0.020495921329709246,0.020720205152631697,0.00642661142930012,-7.213104509380982e-05,7.213104509380982e-05
decade_1e-5,minus,5.0625e-05,7.59375e-05,900,1.4259388167110765e-13,0.39074355608290695,0.013663947553139497,0.01376349667161853,0.004219550239489869,-0.00010878632009819968,0.00010878632009819968
decade_1e-5,minus,7.59375e-05,0.0001,900,1.2332839844482744e-13,0.2661132850946743,0.009109298368759665,0.009151908302795614,0.0015847514961511565,-0.0003060053844034267,0.0003060053844034267
decade_1e-6,minus,1e-06,1.5e-06,2800,5.697969076592052e-13,0.3988380268036289,0.0715755031697767,0.07432570198620153,0.024955928844055928,-2.0905495486149225e-06,2.0905495486149225e-06
decade_1e-6,minus,1.5e-06,2.25e-06,2800,4.803786490707903e-13,0.3985459119464023,0.04771700211318447,0.04893682988974506,0.015893748912095936,-3.1425460096393857e-06,3.1425460096393857e-06
decade_1e-6,minus,2.25e-06,3.375e-06,2800,4.110312112060989e-13,0.3981821573293649,0.031811334742122985,0.03235265106971233,0.01028036721947654,-4.722189473179135e-06,4.722189473179135e-06
decade_1e-6,minus,3.375e-06,5.0625e-06,2800,3.641692808325349e-13,0.3977330967771338,0.021207556494748654,0.021447864380564598,0.006716073156460054,-7.095565351959203e-06,7.095565351959203e-06
decade_1e-6,minus,5.0625e-06,7.59375e-06,2800,3.0869324124147334e-13,0.39717785413155243,0.014138370996499101,0.014245078993813467,0.00441585092906623,-1.0662707125258832e-05,1.0662707125258832e-05
decade_1e-6,minus,7.59375e-06,1e-05,2800,2.704811967036582e-13,0.27123371775980637,0.009425580664332736,0.009471183516780604,0.0016520076469933634,-3.050572177507895e-05,3.050572177507895e-05
decade_1e-5,plus,1e-05,1.5e-05,900,6.109006210298925e-13,0.39860090149354804,0.4387092296162563,0.5427759418812884,0.3249922499345565,-3.495674835283199e-05,3.495674835283199e-05
decade_1e-5,plus,1.5e-05,2.25e-05,900,4.854393326532919e-13,0.3982737915422884,0.29247281974417083,0.3388511650822563,0.13842886315090833,-5.4705148393201785e-05,5.4705148393201785e-05
decade_1e-5,plus,2.25e-05,3.375e-05,900,4.22546044313188e-13,0.3978838155083641,0.19498187982944726,0.2155534750568557,0.07310395480407342,-8.292827582071032e-05,8.292827582071032e-05
decade_1e-5,plus,3.375e-05,5.0625e-05,900,3.8824423303522685e-13,0.39741786340108526,0.12998791988629815,0.13910204746022747,0.042425248979995306,-0.0001247904023515667,0.0001247904023515667
decade_1e-5,plus,5.0625e-05,7.59375e-05,900,3.223235624142502e-13,0.3968769514626346,0.08665861325753212,0.0906972654809528,0.025919598664050886,-0.00018731517913030696,0.00018731517913030696
decade_1e-5,plus,7.59375e-05,0.0001,900,2.8870937200466806e-13,0.2710668763424547,0.05777240883835473,0.05949277925001288,0.009280437223332258,-0.00035084365603666937,0.00035084365603666937
decade_1e-6,plus,1e-06,1.5e-06,2800,1.6242117874065518e-12,0.39960087969027674,0.45395397374691326,0.5651970822367722,0.35646219164177684,-3.4690771593165885e-06,3.4690771593165885e-06
decade_1e-6,plus,1.5e-06,2.25e-06,2800,1.299105085849784e-12,0.3994992498975925,0.30263598249794216,0.35224781766250957,0.14726334443139483,-5.464570071097103e-06,5.464570071097103e-06
decade_1e-6,plus,2.25e-06,3.375e-06,2800,1.157076151807792e-12,0.3993731315780189,0.20175732166529478,0.22376965343238894,0.07693591114758319,-8.295544280184781e-06,8.295544280184781e-06
decade_1e-6,plus,3.375e-06,5.0625e-06,2800,9.167006641608994e-13,0.39921704089396687,0.13450488111019654,0.14425867355141495,0.044422164799475125,-1.2492030033012506e-05,1.2492030033012506e-05
decade_1e-6,plus,5.0625e-06,7.59375e-06,2800,7.760232068189609e-13,0.39902492548849294,0.08966992074013103,0.09399244551843182,0.027068559444450455,-1.8764330523709444e-05,1.8764330523709444e-05
decade_1e-6,plus,7.59375e-06,1e-05,2800,7.093972932437852e-13,0.27273953166309317,0.05977994716008734,0.061620030911594285,0.009661627348838447,-3.514470730535149e-05,3.514470730535149e-05
