fibre,nu,J,a3,a3_over_nu,log_elasticity,log_curvature_ratio,sigma_tangent,sigma_secant_to_R59_endpoint
minus,1e-08,6962,5.790525679843325e-08,5.790525679843325,1.0000000174977857,1.0000000525104793,10.132137771616648,10.142067718987846
minus,3e-08,4827,1.7371577647629076e-07,5.790525882543026,1.0000000525176607,1.000000157555423,10.136829091535342,10.137345925661142
minus,1e-07,3231,5.790526592124435e-07,5.7905265921244355,1.0000001750626752,1.0000005251848343,10.137050761234073,10.13701787400123
minus,3e-07,2240,1.7371585858534366e-06,5.790528619511456,1.0000005251749626,1.0000015755095988,10.136802172357703,10.136962691476015
minus,1e-06,1500,5.790535715026048e-06,5.790535715026048,1.000001750459508,1.0000052512034503,10.13609829851939,10.136603400212607
plus,1e-08,6962,5.331752512099044e-08,5.331752512099044,0.9999999934484712,0.999999980562151,-3.49311298632545,-3.377544466331983
plus,3e-08,4827,1.5995257327360796e-07,5.331752442453599,0.9999999807381497,0.9999999420789702,-3.4233139201096,-3.4473629876667173
plus,1e-07,3231,5.331752202230386e-07,5.331752202230387,0.9999999355877117,0.9999998067212295,-3.434303597323681,-3.4364410161913383
plus,3e-07,2240,1.599525454593601e-06,5.331751515312003,0.9999998066828468,0.9999994200615487,-3.4357300808044133,-3.4352082837566895
plus,1e-06,1500,5.331749110229773e-06,5.331749110229773,0.9999993555638743,0.9999980665712719,-3.4359717397748386,-3.435644715388264
