fibre,nu,J,e1,e1_prime,o2,o2_prime,sigma
minus,1e-08,6962,-0.9175803507468272,-1.488936823254064,4.164930649879653,-141.29100010976956,10.132137771616648
minus,3e-08,4827,-0.9175803805255301,-1.4889334821950904,4.164927812561936,-142.23895597000114,10.136829091535342
minus,1e-07,3231,-0.9175804847504647,-1.4889217884294919,4.164917854635012,-142.29844436363416,10.137050761234073
minus,3e-07,2240,-0.9175807825314812,-1.4888883771630592,4.164889395342831,-142.2910038562691,10.136802172357703
minus,1e-06,1500,-0.9175818247124149,-1.4887714318088205,4.164789789167219,-142.29839961747683,10.13609829851939
plus,1e-08,6962,-0.7668735374527251,0.9930761453136885,3.718853066553173,18.748998906933785,-3.49311298632545
plus,3e-08,4827,-0.7668735175911965,0.9930767026287166,3.718853443031114,19.231180797504088,-3.4233139201096
plus,1e-07,3231,-0.7668734480757593,0.9930786532318067,3.7188547851325593,19.15535055334738,-3.434303597323681
plus,3e-07,2240,-0.7668732494594712,0.9930842263878494,3.7188586158284056,19.145737329989153,-3.4357300808044133
plus,1e-06,1500,-0.7668725542936857,0.9931037324846548,3.7188720176476533,19.14491022657752,-3.4359717397748386
