fibre,nu,J,chart_cond,sigma1,sigma2,sigma3,sigma1_over_nu,sigma2_over_nu2,sigma3_over_nu2
minus,0.0001,2500,1.4503516690744136,0.012622529708827181,7.639061931642564e-07,3.25425305856698e-10,126.2252970882718,76.39061931642564,0.0325425305856698
minus,3e-05,2500,1.4480484789859696,0.0037636203353988017,6.893331783694963e-08,2.9467447582025006e-11,125.45401117996005,76.59257537438847,0.03274160842447223
minus,1e-05,2500,1.4474335504319389,0.0012523406562182705,7.665060444589785e-09,3.2799087801119814e-12,125.23406562182704,76.65060444589784,0.03279908780111981
minus,3e-06,2500,1.4472229190938666,0.00037547138747524557,6.900384449763741e-10,2.9564942793677827e-13,125.15712915841519,76.67093833070822,0.032849936437419805
minus,1e-06,2500,1.4471631778576688,0.0001251351511067008,7.667648258243424e-11,3.270073896515397e-14,125.13515110670079,76.67648258243425,0.03270073896515397
plus,0.0001,2500,1.5794242017196294,0.0015620904192134959,8.710968679558321e-07,1.6395442857843924e-08,15.620904192134958,87.1096867955832,1.6395442857843923
plus,3e-05,2500,1.578989749898947,0.00047115242705458805,7.791108783574433e-08,1.4763890205985343e-09,15.705080901819601,86.56787537304925,1.6404322451094826
plus,1e-05,2500,1.5788657552344156,0.00015729180369051637,8.641384624935321e-09,1.6406859077531958e-10,15.729180369051635,86.4138462493532,1.6406859077531954
plus,3e-06,2500,1.5788223716970062,4.7213038823772895e-05,7.772374214119521e-10,1.4767148810849162e-11,15.737679607924298,86.35971349021689,1.6407943123165734
plus,1e-06,2500,1.5788099778044296,1.5740283133370954e-05,8.634361463517047e-11,1.6405586191523867e-12,15.740283133370955,86.34361463517048,1.6405586191523867
