fibre,nu,J,e1,f_a3_over_nu,o2,e1_prime,f_prime,o2_prime,abs_kernel_e1,abs_kernel_f,abs_kernel_o2,terminal_dual_e1,terminal_dual_f,terminal_dual_o2,rank2_ratio_e1_channel,rank2_ratio_f_channel,source_residual_e1,source_residual_f,source_residual_o2
minus,1e-08,9283,-0.9175803507468271,5.790525679680103,4.164930682712859,-1.4889368147989557,10.14135362439858,-143.1448590638559,1.4889419414356488,10.136800254043905,142.13841992672207,0.0,0.0,0.0,2.452217116917737e-09,3.9822609528131707e-07,1.8886929797901075e-09,0.004585705874465162,-1.0064391371338388
minus,3e-08,6436,-0.9175803805255303,5.790525882539075,4.164927813356596,-1.4889334845926698,10.13798246532821,-142.47096399038267,1.4889488531182118,10.13758817209227,141.93539818528322,0.0,0.0,0.0,1.3351143402601914e-08,3.363539919984959e-08,-5.719453355368387e-09,0.0004913035206026706,-0.5355658050994521
minus,1e-07,4308,-0.9175804847504646,5.790526592119537,4.16491785562034,-1.488921788650013,10.137062406848441,-142.30078669835288,1.4889730350721222,10.137461324404876,142.29142008939812,0.0,0.0,0.0,3.3956131010510655e-08,7.416870785131399e-08,-1.073240385451868e-09,-7.551392975457816e-05,-0.009366608954763933
minus,3e-07,2987,-0.9175807825314813,5.790528619510145,4.164889395606795,-1.4888883776949462,10.136810892233097,-142.29275725671363,1.4890421203534154,10.13777714279442,142.29407764502307,0.0,0.0,0.0,1.0825900447884864e-08,5.3228882651764995e-08,6.870970459260661e-11,3.964975331172127e-06,0.0013203883094377034
minus,1e-06,2500,-0.9175818247124149,5.790535715026562,4.164789789063951,-1.4887714317821954,10.136098415981714,-142.2984232799551,1.4892839083899423,10.139330803507297,142.29844725168965,0.0,0.0,0.0,4.3712575328851836e-08,5.236243236078217e-09,9.851786053616252e-11,1.6714422077512836e-06,2.3971734549377288e-05
plus,1e-08,9283,-0.766873537452725,5.331752510334641,3.7188530543650415,0.9930761619221121,-3.2596160975694914,20.361948888249433,0.9930776164070648,3.353971918233303,20.540991005256508,0.0,0.0,0.0,2.7920528134196403e-09,0.00040452514620345124,4.596269365109151e-09,0.09435400272214611,-0.17898310840874743
plus,3e-08,6436,-0.7668735175911967,5.331752442384391,3.7188534425530317,0.9930766994993562,-3.4593798283360884,18.982044665556476,0.9930810806260213,3.4320465061472882,19.13722236648702,0.0,0.0,0.0,8.609687239180801e-09,1.561648660534263e-05,-3.8836064364389244e-09,-0.027338604650443354,-0.15499727767080884
plus,1e-07,4308,-0.7668734480757591,5.331752202401367,3.7188547863136554,0.9930786523102717,-3.4379713411865076,19.13001448104625,0.993093244286823,3.433546109985798,19.138375823351254,0.0,0.0,0.0,1.7076342641528173e-08,9.277866727568105e-06,-1.173827035572117e-09,-0.0044428248154666505,-0.007760050648510486
plus,3e-07,2987,-0.7668732494594711,5.33175151534884,3.7188586160828665,0.9930842253987857,-3.4355567159804288,19.146934856410937,0.993127998505119,3.435401059407321,19.151751264925515,0.0,0.0,0.0,2.419560242270619e-08,1.0193095233990248e-06,-7.622159570175313e-10,-0.00020840714939529548,-0.0030130811627699927
plus,1e-06,2500,-0.7668725542936856,5.331749110226827,3.7188720176273082,0.9931037323047276,-3.435968434498752,19.144933050987138,0.9932496395324745,3.436144006117585,19.150962948874067,0.0,0.0,0.0,2.4076704750143955e-08,2.3066035144134173e-07,-1.6173717920509034e-10,-2.483462462343766e-07,-1.8613930460986694e-05
