fibre,nu,J,chart_cond,max_entry_secant_slope,sigma1_over_nu,sigma2_over_nu,sigma3_over_nu
minus,1e-06,3000,1.4471631778579612,115.78726471916272,125.13515233971414,7.667685528121945e-05,3.2760691935714314e-08
minus,3e-07,3000,1.4471423145912996,115.77936159786897,125.12746082033411,2.300421424159849e-05,8.565232926171608e-09
minus,1e-07,4308,1.4471363580557899,115.7770841600497,125.12524228733025,7.667959785671976e-06,7.4250516484823215e-09
minus,3e-08,6436,1.447134273730895,115.77631067121652,125.12449137689688,2.305438500728559e-06,7.156226759555172e-09
minus,1e-08,9283,1.44713367825614,115.77716546632809,125.12543949990601,7.597612233060878e-07,4.5761049791235745e-08
minus,1e-09,19999,1.4471334102903133,115.75834295172584,125.10510869965611,5.615332016347863e-07,1.6597283006097877e-07
plus,1e-06,3000,1.578809977804298,12.606591434238991,15.740282804759406,8.634267630582138e-05,1.640336858120408e-06
plus,3e-07,3000,1.5788056400897441,12.608491235614068,15.74180500560828,2.5903340964051246e-05,4.927989887719112e-07
plus,1e-07,4308,1.5788044007566318,12.611183509831132,15.743980904815762,8.635229743615846e-06,1.6204190101019703e-07
plus,3e-08,6436,1.5788039669913485,12.619638324959995,15.750823693261955,2.629472646987749e-06,5.2429050195517375e-08
plus,1e-08,9283,1.5788038430579052,12.643390685195738,15.770002445824302,8.911790987033832e-07,5.288321087206272e-09
plus,1e-09,19999,1.578803787286102,12.960035004345354,16.025327576616746,7.016037994207679e-07,8.415331867492214e-08
