additive_aperture_power_a,log_aperture_exponent_alpha,zero_displacement_delta,filtered_mode_power_exponent,mode_grows,mode_decays,all_zeta_fixed_modes_decay_at_this_a
0.0,1.0,0.01,-1.99,False,True,True
0.0,1.0,0.05,-1.95,False,True,True
0.0,1.0,0.1,-1.9,False,True,True
0.0,1.0,0.25,-1.75,False,True,True
0.0,1.0,0.49,-1.51,False,True,True
0.25,0.75,0.01,-1.49,False,True,True
0.25,0.75,0.05,-1.45,False,True,True
0.25,0.75,0.1,-1.4,False,True,True
0.25,0.75,0.25,-1.25,False,True,True
0.25,0.75,0.49,-1.01,False,True,True
0.5,0.5,0.01,-0.99,False,True,True
0.5,0.5,0.05,-0.95,False,True,True
0.5,0.5,0.1,-0.9,False,True,True
0.5,0.5,0.25,-0.75,False,True,True
0.5,0.5,0.49,-0.51,False,True,True
0.6,0.4,0.01,-0.79,False,True,True
0.6,0.4,0.05,-0.75,False,True,True
0.6,0.4,0.1,-0.7000000000000001,False,True,True
0.6,0.4,0.25,-0.55,False,True,True
0.6,0.4,0.49,-0.31000000000000005,False,True,True
0.7,0.30000000000000004,0.01,-0.5900000000000001,False,True,True
0.7,0.30000000000000004,0.05,-0.55,False,True,True
0.7,0.30000000000000004,0.1,-0.5000000000000001,False,True,True
0.7,0.30000000000000004,0.25,-0.3500000000000001,False,True,True
0.7,0.30000000000000004,0.49,-0.1100000000000001,False,True,True
0.74,0.26,0.01,-0.51,False,True,True
0.74,0.26,0.05,-0.47000000000000003,False,True,True
0.74,0.26,0.1,-0.42000000000000004,False,True,True
0.74,0.26,0.25,-0.27,False,True,True
0.74,0.26,0.49,-0.030000000000000027,False,True,True
0.75,0.25,0.01,-0.49,False,True,False
0.75,0.25,0.05,-0.45,False,True,False
0.75,0.25,0.1,-0.4,False,True,False
0.75,0.25,0.25,-0.25,False,True,False
0.75,0.25,0.49,-0.010000000000000009,False,True,False
0.8,0.19999999999999996,0.01,-0.3899999999999999,False,True,False
0.8,0.19999999999999996,0.05,-0.3499999999999999,False,True,False
0.8,0.19999999999999996,0.1,-0.29999999999999993,False,True,False
0.8,0.19999999999999996,0.25,-0.1499999999999999,False,True,False
0.8,0.19999999999999996,0.49,0.09000000000000008,True,False,False
0.9,0.09999999999999998,0.01,-0.18999999999999995,False,True,False
0.9,0.09999999999999998,0.05,-0.14999999999999997,False,True,False
0.9,0.09999999999999998,0.1,-0.09999999999999995,False,True,False
0.9,0.09999999999999998,0.25,0.050000000000000044,True,False,False
0.9,0.09999999999999998,0.49,0.29000000000000004,True,False,False
0.95,0.050000000000000044,0.01,-0.0900000000000001,False,True,False
0.95,0.050000000000000044,0.05,-0.050000000000000086,False,True,False
0.95,0.050000000000000044,0.1,-8.326672684688674e-17,False,True,False
0.95,0.050000000000000044,0.25,0.1499999999999999,True,False,False
0.95,0.050000000000000044,0.49,0.3899999999999999,True,False,False
0.99,0.010000000000000009,0.01,-0.010000000000000018,False,True,False
0.99,0.010000000000000009,0.05,0.029999999999999985,True,False,False
0.99,0.010000000000000009,0.1,0.07999999999999999,True,False,False
0.99,0.010000000000000009,0.25,0.22999999999999998,True,False,False
0.99,0.010000000000000009,0.49,0.47,True,False,False
