check,object,value,expected_or_comparison,residual
global_atom_action,synthetic signed atom source,2.714125580275013,2.714125580275013,0
global_atom_work,synthetic signed atom source,-2.7141255802750135,-2.714125580275013,-4.4408920985006262e-16
full_balance,synthetic signed atom source,-4.4408920985006262e-16,0,-4.4408920985006262e-16
source_lifecycle,synthetic source 0,-0.78508276044137038,self=-0.88722839111673002; external=0.10214563067535964,0
source_lifecycle,synthetic source 1,-0.40739692730416599,self=-0.41935404423876693; external=0.011957116934600942,0
source_lifecycle,synthetic source 2,-1.2351733047991167,self=-1.5283895331346795; external=0.29321622833556282,0
source_lifecycle,synthetic source 3,-0.28647258773035972,self=-0.2218070977791825; external=-0.064665489951177213,0
actual_prime_lifecycle,q=5,-0.17181121372795924,self=-0.71818099336756369; external=0.54636977963960442; Fenter=-0.06688697064; Fcenter=0.07062038241; Fexit=-0.03057768475,
actual_prime_lifecycle,q=7,-0.16327695906545162,self=-0.74989936015133274; external=0.58662240108588115; Fenter=-0.04236499403; Fcenter=0.07425708593; Fexit=-0.03111989645,
actual_prime_lifecycle,q=11,-0.13203085421323804,self=-0.72464148710883647; external=0.59261063289559845; Fenter=-0.02970525617; Fcenter=0.0630817883; Fexit=-0.02674831867,
actual_prime_lifecycle,q=13,-0.081139787386729514,self=-0.7015678744274122; external=0.62042808704068264; Fenter=-0.01446106241; Fcenter=0.0421691084; Fexit=-0.01525898205,
actual_prime_lifecycle,q=17,-0.13324833419249868,self=-0.65458355821681291; external=0.5213352240243142; Fenter=-0.02454328939; Fcenter=0.06838412974; Fexit=-0.03260147129,
actual_prime_lifecycle,q=19,-0.098191275339173364,self=-0.63256764205126148; external=0.5343763667120881; Fenter=-0.02320042493; Fcenter=0.05105002771; Fexit=-0.02006026558,
