check,parameter,value_1,value_2,residual,note
character_energy,p=5,2.2863343567362717,2.2863343567362713,4.4408920985006262e-16,Gauss-sum character orthogonality
character_energy,p=7,6.32154047318034,6.3215404731803391,8.8817841970012523e-16,Gauss-sum character orthogonality
character_energy,p=11,22.016424861467097,22.016424861467094,3.5527136788005009e-15,Gauss-sum character orthogonality
character_energy,p=13,21.887262311478615,21.887262311478612,3.5527136788005009e-15,Gauss-sum character orthogonality
kernel_scaling,x=20.0,-0.00241331850535+-0.00696638326367i,-0.00241331850535+-0.00696638326367i,8.2854613684466348e-18,"W_{x,u/x}(s)=x^s W_s(u)"
kernel_scaling,x=50.0,-0.00030561125658+-0.01576982339i,-0.00030561125658+-0.01576982339i,2.5825868710588728e-17,"W_{x,u/x}(s)=x^s W_s(u)"
kernel_scaling,x=100.0,-0.02710461328+-0.0071783110671i,-0.02710461328+-0.0071783110671i,8.9237149944462619e-17,"W_{x,u/x}(s)=x^s W_s(u)"
kernel_scaling,x=200.0,-0.0255055732211+0.042824647068i,-0.0255055732211+0.042824647068i,1.5281328664646681e-16,"W_{x,u/x}(s)=x^s W_s(u)"
core_energy_scaling,x=20.0,1.0535801764748205e-08,1.0032435597718358e-08,,reference C≈1.0535802e-08; D≈1.0032436e-08
core_energy_scaling,x=40.0,1.0535801764748208e-08,1.0032435597718358e-08,,reference C≈1.0535802e-08; D≈1.0032436e-08
core_energy_scaling,x=80.0,1.0535801764748208e-08,1.0032435597718356e-08,,reference C≈1.0535802e-08; D≈1.0032436e-08
