delta,gamma,phi_direct,phi_positive_convolution,residual,strictly_positive
0.01,0.0,0.17191342874482438,0.17191342874716109,-2.3367141555041826e-12,True
0.01,0.5,0.16934830375223589,0.16934830375451679,-2.2808976929411529e-12,True
0.01,1.0,0.1618841909531101,0.16188419095481568,-1.7055801215803967e-12,True
0.01,5.0,0.040911989140461721,0.0409119891387986,1.6631210297823884e-12,True
0.01,14.134725,0.0026462819248426659,0.002646281923167119,1.6755468540408103e-12,True
0.01,25.0,0.00073815842948168171,0.00073815842905841015,4.2327155235638569e-13,True
0.01,50.0,0.00017876443831957582,0.00017876443848417281,-1.6459698729855143e-13,True
0.01,100.0,4.406219509850758e-05,4.406219522823283e-05,-1.2972525072381391e-13,True
0.05,0.0,0.17381135025895206,0.17381135026118155,-2.2294943669010081e-12,True
0.05,0.5,0.17118811986364113,0.17118811986583007,-2.1889434709265743e-12,True
0.05,1.0,0.1635565324202794,0.16355653242191645,-1.6370516053854089e-12,True
0.05,5.0,0.040465021918253297,0.040465021916657372,1.5959247812169508e-12,True
0.05,14.134725,0.0025545885945425762,0.0025545885929347265,1.6078497040716844e-12,True
0.05,25.0,0.00070893816112352381,0.00070893816071735793,4.0616587784064739e-13,True
0.05,50.0,0.00017163784749136022,0.00017163784764930959,-1.5794936430828244e-13,True
0.05,100.0,4.2282405501835912e-05,4.2282405626320434e-05,-1.2448452235387999e-13,True
0.1,0.0,0.1762314267196787,0.17623142672177333,-2.0946300249846672e-12,True
0.1,0.5,0.17353339005159166,0.1735333900536655,-2.0738410988485612e-12,True
0.1,1.0,0.16568624664973816,0.16568624665128961,-1.5514534101868094e-12,True
0.1,5.0,0.039884479448664967,0.03988447944715301,1.5119572260857694e-12,True
0.1,14.134725,0.0024398813851120565,0.0024398813835888235,1.5232329286796187e-12,True
0.1,25.0,0.00067238568963612268,0.00067238568925133088,3.8479180779205091e-13,True
0.1,50.0,0.00016272973016847556,0.00016272973031811113,-1.4963556652439203e-13,True
0.1,100.0,4.0057589135842296e-05,4.0057589253775629e-05,-1.1793333237059e-13,True
0.25,0.0,0.18382426465848939,0.18382426466017227,-1.6828760607268123e-12,True
0.25,0.5,0.18088642997087903,0.18088642997260773,-1.7287005160682156e-12,True
0.25,1.0,0.17234870044153935,0.17234870043538605,6.1533000916824676e-12,True
0.25,5.0,0.037989723571415446,0.037989723570155495,1.2599504772836667e-12,True
0.25,14.134725,0.0020952875369641012,0.0020952875356947368,1.2693643879069239e-12,True
0.25,25.0,0.00056254896239425452,0.00056254896207359284,3.2066168297040232e-13,True
0.25,50.0,0.00013600725183166127,0.00013600724979001926,2.0416420019441633e-12,True
0.25,100.0,3.3382643417954149e-05,3.3382643516232767e-05,-9.8278617232175347e-14,True
0.49,0.0,0.19710216070535069,0.19710216070633285,-9.8215879873464473e-13,True
0.49,0.5,0.19372710271541196,0.19372710271658841,-1.1764478280440471e-12,True
0.49,1.0,0.18393165594526181,0.18393165594107927,4.1825432006703522e-12,True
0.49,5.0,0.034433763822562469,0.034433763822529329,3.3140157285060923e-14,True
0.49,14.134725,0.0015432306965717027,0.0015432306936990711,2.872631603076381e-12,True
0.49,25.0,0.00038625364588754747,0.00038625364566949707,2.1805040412159471e-13,True
0.49,50.0,9.3263647283988078e-05,9.3263645895561568e-05,1.3884265102643428e-12,True
0.49,100.0,2.2701376258256592e-05,2.2701376325089802e-05,-6.6833210244244406e-14,True
