N,Xi_sup,Xi_l2,dXi_sup,dXi_l2,Xi_l2_over_N45,dXi_l2_over_N35,theta,low_exponent,high_exponent,max_exponent,note
20,130910,364464.80131282913,130910,133468.62070164658,0.5093550444634003,3.7305613594002178,,,,,collapsed-weight scaling
40,2219620,8770961.5399653874,2219620,2240705.4210904208,0.54172296359430838,5.5357286688534524,,,,,collapsed-weight scaling
80,36526440,204542279.73391259,36526440,36697563.54072199,0.55831352753638441,8.0135006528976795,,,,,collapsed-weight scaling
160,592569680,4697882697.3964958,592569680,593948381.4811337,0.56671178833269142,11.463804309393039,,,,,collapsed-weight scaling
320,9546470560,107093463187.0061,9546470560,9557538933.2519321,0.57093683155063846,16.305013086206166,,,,,collapsed-weight scaling
,,,,,,,0.5,4.0,4.5,4.5,Q=N^theta balance
,,,,,,,0.6,4.1,4.4,4.4,Q=N^theta balance
,,,,,,,0.7,4.2,4.3,4.3,Q=N^theta balance
,,,,,,,0.75,4.25,4.25,4.25,Q=N^theta balance
,,,,,,,0.8,4.3,4.2,4.3,Q=N^theta balance
,,,,,,,0.9,4.4,4.1,4.4,Q=N^theta balance
,,,,,,,1.0,4.5,4.0,4.5,Q=N^theta balance
