N,Q_exponent,Q,odd_theorem_proxy_no_logs,finite_resolution_scale,odd_over_generic,improves_exponent
10000,0.5,100,1000000,20000,50,NO
10000,0.55,158.48931924611142,3981071.7055349778,88214.598763115268,45.129397643415501,NO
10000,0.6,251.18864315095797,15848931.924611127,461202.90500151628,34.364336721944589,NO
10000,0.75,1000,1000000000,101000000,9.9009900990099009,NO
10000,0.9,3981.0717055349733,63095734448.019363,25134713247.020428,2.5103025376865595,NO
10000,1.0,10000,1000000000000,1000100000000,0.99990000999900008,NO
10000,1.1,25118.864315095823,39810717055349.859,39811348012694.336,0.99998415131926011,NO
10000,1.25,100000,10000000000000000,10000010000000000,0.99999900000099995,NO
1000000,0.5,1000,1000000000,2000000,500,NO
1000000,0.55,1995.2623149688809,7943282347.2428303,19830003.630146153,400.56888013712813,NO
1000000,0.6,3981.0717055349714,63095734448.019272,267037575.07556888,236.28036028324414,NO
1000000,0.75,31622.776601683792,31622776601683.789,1000999999999.9999,31.591185416267525,NO
1000000,0.9,251188.64315095809,15848931924611150,3981134801269425.5,3.9810086108005076,NO
1000000,1.0,1000000,1e+18,1.000001e+18,0.99999900000099995,NO
1000000,1.1,3981071.7055349774,2.5118864315095921e+20,2.5118865899989113e+20,0.99999993690426958,NO
1000000,1.25,31622776.601683792,9.9999999999999971e+23,1.0000000009999998e+24,0.99999999899999992,NO
100000000,0.5,10000,1000000000000,200000000,5000,NO
100000000,0.55,25118.864315095823,15848931924611.178,4612029050.0151806,3436.4336721944564,NO
100000000,0.6,63095.734448019299,251188643150957.69,162470390951.64606,1546.0579720382138,NO
100000000,0.75,1000000,1e+18,10001000000000000,99.990000999900005,NO
100000000,0.9,15848931.924611142,3.9810717055349781e+21,6.3095759566883743e+20,6.3095709329164995,NO
100000000,1.0,100000000,9.9999999999999998e+23,1.0000000100000001e+24,0.99999998999999995,NO
100000000,1.1,630957344.48019433,1.5848931924611244e+27,1.5848931928592315e+27,0.99999999974881149,NO
100000000,1.25,10000000000,1.0000000000000001e+32,1.000000000001e+32,0.99999999999900002,NO
