aperture_exponent_alpha,raw_kappa,second_order_correction_4alpha,corrected_kappa,fixed_strip_progress
0.0,0.1,0.0,0.1,True
0.0,0.25,0.0,0.25,True
0.0,0.5,0.0,0.5,True
0.0,0.75,0.0,0.75,True
0.0,1.0,0.0,1.0,True
0.0,1.5,0.0,1.5,True
0.0,2.0,0.0,2.0,True
0.01,0.1,0.04,0.060000000000000005,True
0.01,0.25,0.04,0.21,True
0.01,0.5,0.04,0.46,True
0.01,0.75,0.04,0.71,True
0.01,1.0,0.04,0.96,True
0.01,1.5,0.04,1.46,True
0.01,2.0,0.04,1.96,True
0.05,0.1,0.2,-0.1,False
0.05,0.25,0.2,0.04999999999999999,True
0.05,0.5,0.2,0.3,True
0.05,0.75,0.2,0.55,True
0.05,1.0,0.2,0.8,True
0.05,1.5,0.2,1.3,True
0.05,2.0,0.2,1.8,True
0.1,0.1,0.4,-0.30000000000000004,False
0.1,0.25,0.4,-0.15000000000000002,False
0.1,0.5,0.4,0.09999999999999998,True
0.1,0.75,0.4,0.35,True
0.1,1.0,0.4,0.6,True
0.1,1.5,0.4,1.1,True
0.1,2.0,0.4,1.6,True
0.2,0.1,0.8,-0.7000000000000001,False
0.2,0.25,0.8,-0.55,False
0.2,0.5,0.8,-0.30000000000000004,False
0.2,0.75,0.8,-0.050000000000000044,False
0.2,1.0,0.8,0.19999999999999996,True
0.2,1.5,0.8,0.7,True
0.2,2.0,0.8,1.2,True
0.25,0.1,1.0,-0.9,False
0.25,0.25,1.0,-0.75,False
0.25,0.5,1.0,-0.5,False
0.25,0.75,1.0,-0.25,False
0.25,1.0,1.0,0.0,False
0.25,1.5,1.0,0.5,True
0.25,2.0,1.0,1.0,True
0.4,0.1,1.6,-1.5,False
0.4,0.25,1.6,-1.35,False
0.4,0.5,1.6,-1.1,False
0.4,0.75,1.6,-0.8500000000000001,False
0.4,1.0,1.6,-0.6000000000000001,False
0.4,1.5,1.6,-0.10000000000000009,False
0.4,2.0,1.6,0.3999999999999999,True
0.5,0.1,2.0,-1.9,False
0.5,0.25,2.0,-1.75,False
0.5,0.5,2.0,-1.5,False
0.5,0.75,2.0,-1.25,False
0.5,1.0,2.0,-1.0,False
0.5,1.5,2.0,-0.5,False
0.5,2.0,2.0,0.0,False
